target_lang,aux_lang,limit,auc,f1
english,turkish,1000,0.873639495732519,0.398921832884097
russian,turkish,1000,0.816579524371732,0.469135802469136
chinese,turkish,1000,0.74243245032714,0.008403361344538
portuguese,-,1000,0.863533968185131,0.086614173228347
hindi,portuguese,1000,0.850093059395385,0.278481012658228
surzhyk,portuguese,1000,0.832022792022792,0.666666666666667
turkish,portuguese,1000,0.783496451723578,0.412241224122412
latvian,portuguese,1000,0.607683754626348,0
italian,portuguese,1000,0.850093059395385,0.278481012658228
greek,portuguese,1000,0.783496451723578,0.412241224122412
german,portuguese,1000,0.783496451723578,0.412241224122412
estonian,portuguese,1000,0.607683754626348,0
danish,portuguese,1000,0.783496451723578,0.412241224122412
albanian,portuguese,1000,0.783496451723578,0.412241224122412
arabic,portuguese,1000,0.759216663471982,0.198830409356725
english,portuguese,1000,0.850093059395385,0.278481012658228
russian,portuguese,1000,0.792207792207792,0.48936170212766
chinese,portuguese,1000,0.783496451723578,0.412241224122412
latvian,-,1000,0.629695724072762,0
hindi,latvian,1000,0.85261379447426,0
surzhyk,latvian,1000,0.803646723646724,0.581818181818182
turkish,latvian,1000,0.747702197583922,0.243632336655592
portuguese,latvian,1000,0.85261379447426,0
italian,latvian,1000,0.85261379447426,0
greek,latvian,1000,0.747702197583922,0.243632336655592
german,latvian,1000,0.747702197583922,0.243632336655592
estonian,latvian,1000,0.621236790298449,0
danish,latvian,1000,0.747702197583922,0.243632336655592
albanian,latvian,1000,0.747702197583922,0.243632336655592
arabic,latvian,1000,0.765478244201648,0.470588235294118
english,latvian,1000,0.85261379447426,0
russian,latvian,1000,0.742789677854613,0.04
chinese,latvian,1000,0.747702197583922,0.243632336655592
italian,-,1000,0.863533968185131,0.086614173228347
hindi,italian,1000,0.850093059395385,0.278481012658228
surzhyk,italian,1000,0.832022792022792,0.666666666666667
turkish,italian,1000,0.783496451723578,0.412241224122412
portuguese,italian,1000,0.850093059395385,0.278481012658228
latvian,italian,1000,0.607683754626348,0
greek,italian,1000,0.783496451723578,0.412241224122412
german,italian,1000,0.783496451723578,0.412241224122412
estonian,italian,1000,0.607683754626348,0
danish,italian,1000,0.783496451723578,0.412241224122412
albanian,italian,1000,0.783496451723578,0.412241224122412
arabic,italian,1000,0.759216663471982,0.198830409356725
english,italian,1000,0.850093059395385,0.278481012658228
russian,italian,1000,0.792207792207792,0.48936170212766
chinese,italian,1000,0.783496451723578,0.412241224122412
greek,-,1000,0.736912407631453,0
hindi,greek,1000,0.873639495732519,0.398921832884097
surzhyk,greek,1000,0.835099715099715,0.614173228346457
turkish,greek,1000,0.74243245032714,0.008403361344538
portuguese,greek,1000,0.873639495732519,0.398921832884097
latvian,greek,1000,0.629616820222065,0
italian,greek,1000,0.873639495732519,0.398921832884097
german,greek,1000,0.74243245032714,0.008403361344538
estonian,greek,1000,0.629616820222065,0
danish,greek,1000,0.74243245032714,0.008403361344538
albanian,greek,1000,0.74243245032714,0.008403361344538
arabic,greek,1000,0.741198645453965,0
english,greek,1000,0.873639495732519,0.398921832884097
russian,greek,1000,0.816579524371732,0.469135802469136
chinese,greek,1000,0.74243245032714,0.008403361344538
german,-,1000,0.736912407631453,0
hindi,german,1000,0.873639495732519,0.398921832884097
surzhyk,german,1000,0.835099715099715,0.614173228346457
turkish,german,1000,0.74243245032714,0.008403361344538
portuguese,german,1000,0.873639495732519,0.398921832884097
latvian,german,1000,0.629616820222065,0
