Language Pair,auc,f1,l_distance,target_cultural_index,aux_cultural_index,cultural_distance,Indi_score_1,Indi_score_2,indi_score_distance,single-task-avg-auc,delta_auc
danish-italian,0.783496452,0.412241224,45.4,0.135,0.05,0.085,74,70,4,0.8002231879082918,-0.01672673590829188
danish-latvian,0.747702198,0.243632337,75.8,0.135,0.12,0.015,74,70,4,0.6833040658521072,0.0643981321478928
danish-portuguese,0.783496452,0.412241224,49.4,0.135,0.076666667,0.058333333,74,27,47,0.8002231879082918,-0.01672673590829188
danish-russian,0.816579524,0.469135802,55.3,0.125,0.135,0.01,74,35,39,0.7793180692230464,0.03726145477695364
danish-turkish,0.74243245,0.008403361,87.4,0.135,0.126666667,0.008333333,74,37,37,0.7369124076314527,0.0055200423685473066
danish-ukraninan,0.772350028,0.426116838,57.9,0.135,0.11,0.025,74,25,49,0.7804789958385184,-0.008128967838518464
english-estonian,0.852613794,0.0,85.6,0.0,0.13,0.13,91,60,31,0.7466148461289464,0.10599894787105368
english-german,0.873639496,0.398921833,31.3,0.0,0.095,0.095,91,67,24,0.8002231879082918,0.07341630809170818
english-greek,0.873639496,0.398921833,72.1,0.0,0.09,0.09,91,35,56,0.8002231879082918,0.07341630809170818
english-hindi,0.850093059,0.278481013,68.9,0.0,0.11,0.11,91,48,43,0.863533968185131,-0.013440909185130967
english-italian,0.850093059,0.278481013,49.9,0.0,0.05,0.05,91,70,21,0.863533968185131,-0.013440909185130967
english-latvian,0.852613794,0.0,82.3,0.0,0.12,0.12,91,70,21,0.7466148461289464,0.10599894787105368
english-portuguese,0.850093059,0.278481013,56.5,0.0,0.076666667,0.076666667,91,27,64,0.863533968185131,-0.013440909185130967
english-russian,0.792207792,0.489361702,52.5,0.125,0.0,0.125,91,35,56,0.8426288494998855,-0.05042105749988546
english-turkish,0.873639496,0.398921833,96.3,0.0,0.126666667,0.126666667,91,37,54,0.8002231879082918,0.07341630809170818
english-ukraninan,0.854300308,0.167272727,55.2,0.0,0.11,0.11,91,25,66,0.8437897761153575,0.01051053188464246
estonian-german,0.62961682,0.0,80.1,0.13,0.095,0.035,60,67,7,0.6833040658521072,-0.05368724585210727
estonian-greek,0.62961682,0.0,91.7,0.13,0.09,0.04,60,35,25,0.6833040658521072,-0.05368724585210727
estonian-hindi,0.607683755,0.0,70.1,0.13,0.11,0.02,60,48,12,0.7466148461289464,-0.1389310911289463
estonian-italian,0.607683755,0.0,84.2,0.13,0.05,0.08,60,70,10,0.7466148461289464,-0.1389310911289463
estonian-latvian,0.62123679,0.0,83.8,0.13,0.12,0.01,60,70,10,0.6296957240727616,-0.008458934072761659
estonian-portuguese,0.607683755,0.0,85.1,0.13,0.076666667,0.053333333,60,27,33,0.7466148461289464,-0.1389310911289463
estonian-russian,0.742789678,0.04,71.8,0.125,0.13,0.005,60,35,25,0.7257097274437008,0.017079950556299184
estonian-turkish,0.62961682,0.0,75.2,0.13,0.126666667,0.003333333,60,37,23,0.6833040658521072,-0.05368724585210727
estonian-ukraninan,0.643701236,0.041162228,73.9,0.13,0.11,0.02,60,25,35,0.726870654059173,-0.083169418059173
german-greek,0.74243245,0.008403361,86.8,0.095,0.09,0.005,67,35,32,0.7369124076314527,0.0055200423685473066
german-hindi,0.783496452,0.412241224,63.8,0.095,0.11,0.015,67,48,19,0.8002231879082918,-0.01672673590829188
german-italian,0.783496452,0.412241224,49.5,0.095,0.05,0.045,67,70,3,0.8002231879082918,-0.01672673590829188
german-latvian,0.747702198,0.243632337,73.2,0.095,0.12,0.025,67,70,3,0.6833040658521072,0.0643981321478928
german-portuguese,0.783496452,0.412241224,58.8,0.095,0.076666667,0.018333333,67,27,40,0.8002231879082918,-0.01672673590829188
german-russian,0.816579524,0.469135802,50.2,0.125,0.095,0.03,67,35,32,0.7793180692230464,0.03726145477695364
german-turkish,0.74243245,0.008403361,87.8,0.095,0.126666667,0.031666667,67,37,30,0.7369124076314527,0.0055200423685473066
german-ukraninan,0.772350028,0.426116838,49.4,0.095,0.11,0.015,67,25,42,0.7804789958385184,-0.008128967838518464
greek-hindi,0.783496452,0.412241224,66.2,0.09,0.11,0.02,35,48,13,0.8002231879082918,-0.01672673590829188
greek-italian,0.783496452,0.412241224,62.9,0.09,0.05,0.04,35,70,35,0.8002231879082918,-0.01672673590829188
greek-latvian,0.747702198,0.243632337,70.2,0.09,0.12,0.03,35,70,35,0.6833040658521072,0.0643981321478928
greek-portuguese,0.783496452,0.412241224,67.8,0.09,0.076666667,0.013333333,35,27,8,0.8002231879082918,-0.01672673590829188
greek-russian,0.816579524,0.469135802,52.5,0.125,0.09,0.035,35,35,0,0.7793180692230464,0.03726145477695364
greek-turkish,0.74243245,0.008403361,83.1,0.09,0.126666667,0.036666667,35,37,2,0.7369124076314527,0.0055200423685473066
greek-ukraninan,0.772350028,0.426116838,74.7,0.09,0.11,0.02,35,25,10,0.7804789958385184,-0.008128967838518464
hindi-italian,0.850093059,0.278481013,50.6,0.05,0.11,0.06,48,70,22,0.863533968185131,-0.013440909185130967
hindi-latvian,0.607683755,0.0,73.1,0.12,0.11,0.01,48,70,22,0.7466148461289464,-0.1389310911289463
hindi-portuguese,0.850093059,0.278481013,60.4,0.076666667,0.11,0.033333333,48,27,21,0.863533968185131,-0.013440909185130967
hindi-russian,0.792207792,0.489361702,67.5,0.125,0.11,0.015,48,35,13,0.8426288494998855,-0.05042105749988546
hindi-turkish,0.783496452,0.412241224,81.3,0.126666667,0.11,0.016666667,48,37,11,0.8002231879082918,-0.01672673590829188
hindi-ukraninan,0.832022792,0.666666667,67.9,0.11,0.11,0.0,48,25,23,0.8437897761153575,-0.011766984115357593
italian-latvian,0.852613794,0.0,66.0,0.05,0.12,0.07,70,70,0,0.7466148461289464,0.10599894787105368
italian-portuguese,0.850093059,0.278481013,18.3,0.05,0.076666667,0.026666667,70,27,43,0.863533968185131,-0.013440909185130967
italian-russian,0.792207792,0.489361702,48.0,0.125,0.05,0.075,70,35,35,0.8426288494998855,-0.05042105749988546
italian-turkish,0.873639496,0.398921833,79.6,0.05,0.126666667,0.076666667,70,37,33,0.8002231879082918,0.07341630809170818
italian-ukraninan,0.854300308,0.167272727,47.3,0.05,0.11,0.06,70,25,45,0.8437897761153575,0.01051053188464246
latvian-portuguese,0.607683755,0.0,64.2,0.12,0.076666667,0.043333333,70,27,43,0.7466148461289464,-0.1389310911289463
latvian-russian,0.742789678,0.04,48.4,0.125,0.12,0.005,70,35,35,0.7257097274437008,0.017079950556299184
latvian-turkish,0.62961682,0.0,81.7,0.12,0.126666667,0.006666667,70,37,33,0.6833040658521072,-0.05368724585210727
latvian-ukraninan,0.643701236,0.041162228,48.8,0.12,0.11,0.01,70,25,45,0.726870654059173,-0.083169418059173
portuguese-russian,0.792207792,0.489361702,53.0,0.125,0.076666667,0.048333333,27,35,8,0.8426288494998855,-0.05042105749988546
portuguese-turkish,0.873639496,0.398921833,85.0,0.076666667,0.126666667,0.05,27,37,10,0.8002231879082918,0.07341630809170818
portuguese-ukraninan,0.854300308,0.167272727,56.1,0.076666667,0.11,0.033333333,27,25,2,0.8437897761153575,0.01051053188464246
russian-turkish,0.816579524,0.469135802,75.3,0.125,0.126666667,0.001666667,35,37,2,0.7793180692230464,0.03726145477695364
russian-ukraninan,0.765474785,0.473684211,7.0,0.125,0.11,0.015,35,25,10,0.8228846574301121,-0.057409872430112086
turkish-ukraninan,0.772350028,0.426116838,75.5,0.126666667,0.11,0.016666667,37,25,12,0.7804789958385184,-0.008128967838518464
